hyperedge_degree, hyperedge_impact
25, 3798.5293
18, 3343.4812
7, 1872.4583
8, 2059.744
5, 1430.999
4, 1226.4712
5, 1487.507
9, 2266.3594
4, 1199.5896
2, 715.52576
2, 699.7629
2, 662.9485
2, 693.7639
2, 682.6114
2, 691.954
10, 2324.928
4, 1187.7483
2, 745.87646
4, 1247.5812
2, 727.26
4, 1236.6173
2, 695.6092
4, 1209.5037
4, 1193.3744
4, 1210.2129
5, 1432.0232
7, 1904.1517
6, 1658.9623
3, 964.9183
2, 723.90485
3, 997.8324
2, 692.7946
4, 1233.3987
10, 2398.0564
4, 1168.2794
4, 1213.4888
6, 1629.3032
5, 1443.445
4, 1158.1342
4, 1223.5541
5, 1440.3392
3, 1042.6096
3, 928.257
3, 957.7868
7, 1911.2565
2, 731.0632
2, 697.5271
3, 967.70325
3, 950.4774
3, 987.46844
3, 940.60815
3, 955.77795
4, 1200.1368
4, 1253.3529
4, 1220.7806
4, 1242.3088
2, 711.1505
2, 705.6899
2, 671.8479
2, 712.4256
11, 2557.374
6, 1676.4148
16, 3211.2288
12, 2708.4758
9, 2145.1711
30, 4012.4792
10, 2392.6938
9, 2208.239
16, 3181.066
5, 1406.3875
8, 2036.6604
13, 2843.3108
12, 2688.1763
11, 2554.5725
24, 3774.086
2, 694.3251
2, 718.24243
2, 697.2371
2, 685.17896
2, 703.06036
2, 656.7275
2, 734.38214
2, 690.9794
2, 684.255
2, 703.8394
2, 719.91974
2, 649.5238
2, 697.35364
2, 679.18176
2, 711.6847
2, 674.4273
2, 720.70715
2, 692.5167
2, 707.9438
2, 733.4382
2, 686.01935
2, 679.4819
2, 728.22644
2, 744.9227
2, 689.90625
2, 706.4102
2, 702.47205
2, 701.9395
2, 692.7121
2, 694.8934
2, 688.25726
2, 687.4305
2, 692.49243
2, 694.4392
2, 705.4314
2, 705.74866
2, 708.30383
2, 720.9953
2, 681.9361
2, 668.3915
2, 703.5124
7, 1811.9355
5, 1436.6967
2, 725.65497
2, 647.6467
5, 1465.0165
3, 953.02747
8, 2046.8787
3, 962.7741
3, 955.5302
2, 684.0972
3, 952.0778
3, 923.9349
2, 736.83826
2, 690.67474
2, 692.5202
3, 946.0824
2, 722.28186
2, 689.86316
3, 958.8686
2, 730.06793
4, 1201.8517
2, 692.48224
3, 925.3174
3, 910.1458
2, 691.6364
2, 749.5304
2, 711.11017
2, 704.7498
4, 1208.5632
2, 723.99396
3, 929.2635
4, 1250.9236
2, 714.1643
3, 934.445
3, 975.02374
3, 988.3837
3, 942.23016
3, 914.944
2, 699.0842
2, 702.14825
2, 699.1348
6, 1677.9607
3, 934.50714
2, 729.2018
2, 730.5269
2, 685.2471
2, 683.4216
3, 998.3692
2, 685.4488
3, 940.4971
2, 689.8774
4, 1235.6228
2, 682.0525
2, 712.6957
3, 984.6033
3, 956.3988
2, 693.59296
3, 898.1698
3, 957.88324
3, 922.9328
3, 960.1416
3, 971.79047
2, 729.83386
7, 1796.8763
2, 683.89215
2, 709.51825
2, 654.9468
3, 923.5915
2, 684.2264
3, 966.8048
6, 1644.7485
12, 2686.0725
4, 1219.5044
6, 1684.182
2, 678.73694
7, 1883.5803
5, 1430.6465
12, 2710.419
2, 695.44
4, 1237.1296
6, 1694.4987
3, 977.8159
2, 648.72833
2, 689.0369
3, 960.614
3, 971.8377
3, 930.3828
3, 930.7632
3, 955.0587
4, 1174.5472
2, 670.9331
2, 688.94684
2, 681.17804
2, 641.1424
3, 925.2013
3, 926.6722
3, 941.8745
3, 980.02075
2, 631.1211
7, 1858.5491
2, 671.2241
2, 712.80457
2, 718.45746
2, 697.14746
2, 712.62006
2, 706.7626
2, 668.1296
2, 644.98035
2, 724.9847
2, 693.04553
2, 702.53876
2, 726.9478
2, 710.26495
2, 701.3335
2, 671.74005
2, 666.65656
2, 676.39496
2, 732.2542
2, 681.50934
2, 706.79156
2, 686.1797
2, 673.2333
2, 724.9774
2, 696.1698
2, 742.3143
2, 687.9569
2, 644.0064
2, 678.60895
2, 695.3723
2, 679.9875
2, 682.6638
2, 697.7055
2, 723.2612
2, 690.7818
2, 707.72736
2, 665.4987
2, 694.61707
2, 723.14935
2, 703.8399
2, 674.0545
2, 681.8751
2, 686.69403
2, 692.07947
2, 694.7752
2, 687.9792
2, 685.9004
2, 686.2763
10, 2381.9512
11, 2524.872
7, 1835.8884
10, 2354.5896
5, 1423.4249
2, 710.7453
7, 1893.3585
